phenotype,databaseId,description,cohortId,analysisName,sensitivity95Ci,ppv95Ci,specificity95Ci,npv95Ci,cutPoint,truePositives,trueNegatives,falsePositives,falseNegatives,estimatedPrevalence,f1Score,sensitivity,sensitivityCi95Lb,sensitivityCi95Ub,ppv,ppvCi95Lb,ppvCi95Ub,specificity,specificityCi95Lb,specificityCi95Ub,npv,npvCi95Lb,npvCi95Ub,runDateTime,totalSubjects,rawCases,estimatedCases,rawTar,estimatedTar,rawPrevalence,estimatedPrevalence,rawPrevalenceRate,estimatedPrevalenceRate
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,All,0.109 (0.067 - 0.164),0.731 (0.522 - 0.884),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,20,1957493,6,156,0.009,0.189,0.108571,0.066645,0.164348,0.730769,0.522125,0.884268,0.999997,0.999993,0.999999,0.99992,0.999907,0.999932,Feb 06 2024 12:43:28 AM,1957675,260,176,8109136.2,8109271.8,0.013,0.009,0.003,0.002
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,All,0.824 (0.762 - 0.876),0.568 (0.507 - 0.627),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,155,1957382,118,33,0.01,0.672,0.824468,0.762416,0.875984,0.567766,0.506703,0.627341,0.99994,0.999928,0.99995,0.999983,0.999976,0.999988,Feb 06 2024 12:43:28 AM,1957688,273,188,8109229.8,8109366.4,0.014,0.01,0.003,0.002
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,All,0.626 (0.537 - 0.709),0.739 (0.647 - 0.818),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,82,1107778,29,49,0.012,0.678,0.625954,0.537179,0.708899,0.738739,0.646793,0.817532,0.999975,0.999963,0.999983,0.999956,0.999942,0.999967,Feb 06 2024 1:20:22 PM,1107938,197,131,6975636.7,6975751.7,0.018,0.012,0.003,0.002
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,All,0.817 (0.740 - 0.879),0.543 (0.471 - 0.614),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,108,1107718,89,23,0.012,0.652,0.816794,0.73978,0.878947,0.543147,0.470851,0.614126,0.99992,0.999901,0.999935,0.999978,0.999968,0.999986,Feb 06 2024 1:20:22 PM,1107938,197,131,6975636.7,6975751.7,0.018,0.012,0.003,0.002
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,All,0.897 (0.788 - 0.961),0.206 (0.158 - 0.262),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,52,1102913,200,6,0.005,0.335,0.896552,0.788314,0.961079,0.206349,0.158121,0.261629,0.99982,0.999793,0.999844,0.999995,0.999988,0.999998,Feb 06 2024 1:20:22 PM,1103171,124,58,6931955.2,6932076.1,0.011,0.005,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,All,0.897 (0.788 - 0.961),0.206 (0.158 - 0.262),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,52,1102599,200,6,0.005,0.335,0.896552,0.788314,0.961079,0.206349,0.158121,0.261629,0.99982,0.999793,0.999844,0.999995,0.999988,0.999998,Feb 06 2024 1:20:22 PM,1102857,124,58,6927858.3,6927979.9,0.011,0.005,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,All,0.683 (0.550 - 0.797),0.320 (0.241 - 0.409),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,41,1104927,87,19,0.005,0.436,0.683333,0.55044,0.797424,0.320312,0.240628,0.40853,0.999922,0.999904,0.999938,0.999983,0.999973,0.99999,Feb 06 2024 1:20:22 PM,1105074,124,60,6949443.4,6949563.5,0.011,0.005,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,317681,1,0,0,0,0,0,0.975,0,0,0.975,0.999997,0.999982,1,0.999997,0.999982,1,Feb 06 2024 1:21:12 AM,317681,0,0,1382650.6,1382650.6,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,317681,1,0,0,0,0,0,0.975,0,0,0.975,0.999997,0.999982,1,0.999997,0.999982,1,Feb 06 2024 1:21:12 AM,317681,0,0,1382650.6,1382650.6,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,194449,1,0,0,0,0,0,0.975,0,0,0.975,0.999995,0.999971,1,0.999995,0.999971,1,Feb 06 2024 1:26:53 PM,194449,0,0,1204209.3,1204209.3,0,0,0,0
